cve_institucion,cve_periodo,cve_destino_credito,cve_tipo_moneda,responsabilidad,tasa,plazo
040044,201612,32,0,3884167667,6.613611318,18.77181127
040044,201612,32,1,61050005,7.0087,6
040072,201512,0,0,2089415721,6.075341261,113.1762826
040072,201512,21,0,3585924491,6.417817259,64.86014389
040072,201512,21,1,3189217313,2.948827413,50.94588989
040072,201512,22,0,4764866252,7.948917687,62.60400828
040072,201512,22,1,2444160370,4.752554644,68.03547797
040072,201512,25,0,6938075198,6.590687447,33.89036087
040072,201512,25,1,292493298,6.3627,52.3726
040072,201512,26,0,2514916245,6.298753518,63.51314499
040072,201512,26,1,197264287,4.015,88
040072,201512,27,0,1.29396E+11,7.343044003,60.68742696
040072,201512,27,1,25759491674,4.064894951,46.02882629
040072,201512,27,2,74095,10,11
040072,201512,28,0,67153218,5.4947,9.0782
040072,201512,30,0,42706536,6.113074092,1.298032702
040072,201512,31,0,4025904,8.2665,10.0744
040072,201512,32,0,700533722,6.390570268,113.0150443
040072,201512,32,1,10666228,4.4436,30.1111
040072,201612,0,0,802246777,8.01676174,116.8912465
040072,201612,21,0,8830365815,8.25941012,74.6828462
040072,201612,21,1,3933041879,3.30771177,40.57630181
040072,201612,22,0,5606790957,9.570128988,63.32341455
040072,201612,22,1,3566468708,4.70644818,71.69412532
040072,201612,25,0,8024138378,8.856529182,33.6401421
040072,201612,25,1,70314751,4.27,3
040072,201612,26,0,2116278144,8.748759559,47.82870343
040072,201612,26,1,224271933,4.3877,76
040072,201612,27,0,1.41144E+11,9.367526225,67.00106526
040072,201612,27,1,31968559248,4.468935314,67.28369174
040072,201612,28,0,10822364,8.1849,24.4588
040072,201612,30,0,52067711,8.719066696,19.35968304
040072,201612,31,0,386322,13.9,36
040072,201612,32,0,999094674,8.084511281,50.1935522
5,201512,0,0,47973287619,7.019502616,119.0362543
5,201512,0,1,16299993174,3.814405956,99.26860097
5,201512,21,0,33125330237,7.043076703,50.47147907
5,201512,21,1,10540864724,4.725431358,59.54331049
5,201512,21,2,413669,0,20
5,201512,22,0,76652661399,6.92328666,48.43094763
5,201512,22,1,13623668563,4.066974619,54.54155578
5,201512,23,0,1711073362,6.293878353,127.8310536
5,201512,23,1,163747759,4.38,14
5,201512,24,0,5816276575,6.763878137,82.99314577
5,201512,24,1,2339215162,3.587681688,96.75403952
5,201512,25,0,20914474369,7.548604088,28.71584628
5,201512,25,1,678280717,4.6947,51.5919
5,201512,26,0,4906747978,6.441907613,53.91416713
5,201512,26,1,1208489342,3.702050529,41.68006586
5,201512,27,0,9.89541E+11,7.215962971,41.68724391
5,201512,27,1,3.94644E+11,3.536351462,41.31088886
5,201512,27,2,40401080,0.24748479,10.30215151
5,201512,28,0,33620544669,6.857072174,7.912148929
5,201512,28,1,11254405520,3.360581872,8.358333588
5,201512,29,0,950779200,6.95608114,27.4528373
5,201512,29,1,173107261,3.429893081,25.95211657
5,201512,30,0,2956358648,6.591545579,32.41363305
5,201512,30,1,785364832,3.790598063,35.60856836
5,201512,31,0,43241952,9.23234488,44.2012648
5,201512,32,0,10775012979,5.145179786,31.46368476
5,201512,32,1,749784914,2.638786207,3.147262875
5,201512,33,0,2979760,9.350168484,39.04801787
5,201612,0,0,48038884694,9.05551812,125.7740097
5,201612,0,1,22121424344,4.030703788,115.9363264
5,201612,21,0,45185676495,9.166892707,57.34436974
5,201612,21,1,15702781299,4.357318312,68.45162875
5,201612,21,2,192387,0,8
5,201612,22,0,1.11521E+11,8.984692363,56.57314688
5,201612,22,1,34214297287,5.461460576,60.51257607
5,201612,23,0,1024267719,8.739663939,157.113052
5,201612,23,1,331624910,4.209006871,4.610550727
5,201612,24,0,5515747649,9.428071067,89.19027365
5,201612,24,1,2925796096,4.128402238,93.40995449
5,201612,25,0,25102343336,9.550713132,35.45138297
5,201612,25,1,507611548,3.8651,34.0133
5,201612,26,0,4901074542,8.81869128,60.51127088
5,201612,26,1,1344638581,4.218531074,32.7555596
5,201612,27,0,1.1263E+12,9.184455091,42.51657915
5,201612,27,1,4.39417E+11,3.863309885,48.09218373
5,201612,27,2,48329955,1.49774497,9.159722431
5,201612,28,0,42860533578,8.560298785,11.60189598
5,201612,28,1,10726848736,3.672461148,12.73648243
5,201612,29,0,1192794972,8.472718875,22.30289146
5,201612,29,1,202374557,3.664185307,17.93409289
5,201612,30,0,4045682306,8.114673892,34.21336463
5,201612,30,1,1653312113,4.651754093,77.31295927
5,201612,31,0,48270401,8.732825188,35.33228348
5,201612,32,0,20656334049,7.230856075,39.725333
5,201612,32,1,5860393299,7.069592544,18.7689976
5,201612,33,0,1810223,11.01705017,26.24571791
